symbol,date,open,high,low,close,volume
AAPL,2024-11-12,184.23,188.10,183.90,187.42,52130412
AAPL,2024-11-13,187.50,189.70,185.88,188.95,49873221
AAPL,2024-11-14,189.20,191.35,188.75,190.60,51200411
AAPL,2024-11-15,190.40,192.05,189.10,191.77,48933410
AAPL,2024-11-18,191.90,194.22,190.80,193.84,55422109
MSFT,2024-11-12,371.50,375.40,369.20,373.80,28455110
MSFT,2024-11-13,374.60,377.90,372.15,376.22,27119004
MSFT,2024-11-14,376.10,380.45,375.00,379.95,29877100
MSFT,2024-11-15,380.25,382.80,378.90,381.65,26598411
MSFT,2024-11-18,381.70,384.55,380.10,383.92,30214400

